num_nodes,num_edges,avg_degree,density,num_unknown_nodes,num_read_syscalls,num_openat_syscalls,num_close_syscalls,num_open_syscalls,max_degree_centrality,avg_degree_centrality,max_betweenness_centrality,avg_betweenness_centrality,max_closeness_centrality,avg_closeness_centrality,num_connected_components,largest_cc_num_nodes,largest_cc_num_edges,degree_assortativity,node_connectivity,edge_connectivity,degree_std,degree_skewness,degree_kurtosis,num_connect_syscalls,num_accept4_syscalls,num_unlink_syscalls,num_write_syscalls,num_accept_syscalls,num_unlinkat_syscalls,num_execve_syscalls
131,349,5.32824427480916,0.020493247210804463,131,99,12.0,119,119,1.6076923076923078,0.04098649442160886,0.0,0.0,0.015384615384615385,0.007163828537874321,9,57,120,0.257403719590789,0,0,19.306069428155418,9.430157397852241,96.29118821335722,0.0,0.0,0.0,0.0,0.0,0.0,0.0
369,944,5.116531165311653,0.006951808648521268,369,283,39.0,354,264,0.9782608695652174,0.013903617297042533,0.0,0.0,0.005434782608695652,0.0026363850595027528,11,167,378,0.07708312684126704,0,0,27.528353905128316,12.015110221186106,148.5771568124047,2.0,2.0,0.0,0.0,0.0,0.0,0.0
106,321,6.056603773584905,0.028840970350404314,106,130,10.0,91,90,1.3333333333333335,0.05768194070080855,0.0,0.0,0.0380952380952381,0.00871518418688229,9,49,160,-0.4240945413306051,0,0,15.47415995139947,6.727455383120772,53.790176945932906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,344,5.733333333333333,0.024089635854341738,120,127,10.0,103,104,1.4285714285714286,0.04817927170868342,0.0,0.0,0.01680672268907563,0.007563025210084028,12,48,100,-0.3309111033084561,0,0,17.238393841139093,7.811200194516357,69.92302446841624,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,356,5.393939393939394,0.020587554938699976,132,99,12.0,122,123,1.6106870229007633,0.04117510987739981,0.0,0.0,0.015267175572519083,0.007286606523247755,6,58,211,0.2706200757993265,0,0,19.4117106078676,9.462813538240374,97.05612791398264,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,347,6.087719298245614,0.026936811054184134,114,136,10.0,100,101,1.5044247787610618,0.053873622108368185,0.0,0.0,0.017699115044247787,0.008150908244061492,9,48,100,-0.3427317224186999,0,0,18.05185581338305,7.270105517439735,60.933418645969944,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,323,5.046875,0.019869586614173228,128,75,24.0,113,111,1.0866141732283465,0.03973917322834643,0.0,0.0,0.023622047244094488,0.007258858267716524,10,67,155,-0.0445845109921153,0,0,14.160276400352325,7.4433099867947075,63.243091014697534,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,357,5.492307692307692,0.021288014311270125,130,103,11.0,121,122,1.7054263565891472,0.042576028622540285,0.0,0.0,0.015503875968992248,0.0073941562313655455,6,60,220,0.32605897983811233,0,0,20.158314243410697,9.658512434815878,100.2599850876183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,862,5.7275747508305646,0.009545957918050942,301,374,24.0,276,186,0.7133333333333334,0.01909191583610195,0.0,0.0,0.023333333333333334,0.0031782945736433996,14,112,382,-0.31867043957489377,0,0,18.275999650392766,8.21307481654132,78.28933529594701,1.0,1.0,0.0,0.0,0.0,0.0,0.0
168,548,6.523809523809524,0.019532363843741088,168,295,2.0,152,93,1.910179640718563,0.03906472768748218,0.0,0.0,0.017964071856287425,0.00559595095523241,11,91,407,-0.2717443993729428,0,0,26.115346788210196,10.692818783730202,124.07246533733465,4.0,2.0,0.0,0.0,0.0,0.0,0.0
102,324,6.352941176470588,0.0314502038439138,102,138,9.0,89,88,1.4356435643564356,0.06290040768782763,0.0,0.0,0.039603960396039604,0.009221510386332756,7,47,162,-0.40779064608233595,0,0,16.262338940634248,6.643228207426154,52.42318088775881,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,625,4.844961240310077,0.009425994630953458,258,331,0.0,229,45,0.6926070038910506,0.018851989261906888,0.0,0.0,0.027237354085603113,0.003559255572648015,22,91,244,-0.2934522569953805,0,0,15.600114098371797,8.222696026116665,76.38922366505516,13.0,1.0,6.0,0.0,0.0,0.0,0.0
287,778,5.421602787456446,0.009478326551497284,287,375,1.0,260,129,1.2482517482517483,0.01895665310299449,0.0,0.0,0.02097902097902098,0.0032893935332959914,17,154,502,-0.2964030198162544,0,0,23.832895755219422,12.561873588815518,173.6558581964226,7.0,1.0,4.0,1.0,0.0,0.0,0.0
251,585,4.661354581673307,0.009322709163346614,251,203,11.0,233,138,0.868,0.018645418326693232,0.0,0.0,0.008,0.003792828685258967,13,97,192,0.1931339260550151,0,0,18.74341479467145,10.024311800140342,105.0514389003667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,772,5.676470588235294,0.01047319296722379,272,358,1.0,246,146,1.3025830258302582,0.020946385934447642,0.0,0.0,0.025830258302583026,0.0034594095940959214,17,160,538,-0.2717109893334987,0,0,23.552002023351612,12.57746330086284,177.27387969139647,12.0,2.0,6.0,1.0,0.0,0.0,0.0
201,536,5.333333333333333,0.013333333333333334,201,243,10.0,176,103,0.685,0.02666666666666655,0.0,0.0,0.025,0.004601990049751248,16,65,128,-0.39255400505229426,0,0,14.75313722714995,6.965802467203216,55.11758527584357,2.0,2.0,0.0,0.0,0.0,0.0,0.0
256,583,4.5546875,0.008930759803921568,256,300,0.0,218,48,0.6274509803921569,0.01786151960784311,0.0,0.0,0.03137254901960784,0.0034926470588235187,28,93,230,-0.2584134181146923,0,0,13.506253524843363,8.55200881905745,85.32382010676538,12.0,2.0,3.0,0.0,0.0,0.0,0.0
108,348,6.444444444444445,0.030114226375908618,108,146,10.0,96,96,1.4018691588785046,0.06022845275181718,0.0,0.0,0.018691588785046728,0.008653513326410523,8,48,100,-0.21157224828310844,0,0,18.23475178990672,5.88346685737721,38.980694874484996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,356,5.313432835820896,0.01997531141286051,134,98,13.0,122,123,1.5338345864661653,0.039950622825721024,0.0,0.0,0.015037593984962405,0.00712602401526206,7,60,126,0.23041085676501993,0,0,18.87405939554034,9.271037031567827,93.64884044876081,0.0,0.0,0.0,0.0,0.0,0.0,0.0
